Time,origin,objective,distance,arrive,trajectory
14.85,"[-2.05, -1.73]","[-1.58, 0.55]",2.33,True,"[[-1.58, 0.55], [-1.58, 0.55], [-1.58, 0.55], [-1.57, 0.55], [-1.55, 0.55], [-1.53, 0.55], [-1.48, 0.54], [-1.32, 0.56], [-1.02, 0.66], [-0.68, 0.65], [-0.35, 0.61], [-0.21, 0.54], [-0.12, 0.43], [-0.0, 0.28], [0.06, 0.03], [0.03, -0.38], [-0.01, -0.81], [0.05, -1.19], [0.07, -1.58], [0.05, -1.75], [-0.03, -1.88], [-0.14, -1.96], [-0.3, -2.04], [-0.54, -2.06], [-0.85, -2.07], [-1.16, -2.05], [-1.44, -2.0], [-1.64, -1.91], [-1.81, -1.84], [-1.93, -1.81]]"
12.33,"[-0.15, -0.12]","[-1.93, -1.81]",2.45,True,"[[-1.93, -1.81], [-1.93, -1.81], [-1.93, -1.81], [-1.93, -1.81], [-1.94, -1.8], [-1.94, -1.81], [-1.94, -1.8], [-1.85, -1.81], [-1.59, -1.85], [-1.24, -1.91], [-0.84, -2.01], [-0.48, -2.03], [-0.11, -1.94], [0.06, -1.87], [0.14, -1.78], [0.21, -1.68], [0.21, -1.54], [0.12, -1.29], [0.06, -1.0], [0.09, -0.72], [0.07, -0.5], [0.05, -0.34], [0.03, -0.2], [0.01, -0.1], [-0.02, -0.04]]"
9.81,"[0.85, -1.58]","[-0.03, -0.04]",1.77,True,"[[-0.03, -0.04], [-0.03, -0.04], [-0.03, -0.04], [-0.03, -0.02], [-0.06, 0.01], [-0.09, 0.02], [-0.03, -0.12], [0.0, -0.37], [0.03, -0.69], [0.11, -0.99], [0.23, -1.24], [0.24, -1.37], [0.28, -1.47], [0.36, -1.56], [0.43, -1.65], [0.49, -1.74], [0.58, -1.81], [0.68, -1.86], [0.75, -1.85], [0.82, -1.82]]"
10.99,"[-0.5, -0.42]","[0.82, -1.82]",1.92,True,"[[0.82, -1.82], [0.82, -1.82], [0.82, -1.82], [0.83, -1.81], [0.86, -1.81], [0.83, -1.77], [0.68, -1.73], [0.41, -1.67], [0.14, -1.63], [0.07, -1.6], [0.07, -1.6], [0.07, -1.6], [0.05, -1.6], [0.02, -1.53], [0.02, -1.38], [0.01, -1.16], [0.04, -0.95], [0.06, -0.79], [0.01, -0.65], [-0.11, -0.52], [-0.26, -0.42], [-0.37, -0.35]]"
11.85,"[1.05, -2.12]","[-0.38, -0.34]",2.28,True,"[[-0.38, -0.34], [-0.38, -0.34], [-0.38, -0.34], [-0.39, -0.33], [-0.42, -0.3], [-0.47, -0.31], [-0.47, -0.31], [-0.47, -0.31], [-0.4, -0.3], [-0.39, -0.31], [-0.39, -0.31], [-0.33, -0.29], [-0.2, -0.32], [-0.08, -0.42], [0.0, -0.58], [0.06, -0.82], [0.17, -1.12], [0.22, -1.42], [0.24, -1.59], [0.3, -1.73], [0.4, -1.86], [0.55, -1.96], [0.69, -2.04], [0.82, -2.09]]"
8.92,"[0.05, 0.12]","[0.83, -2.09]",2.34,True,"[[0.83, -2.09], [0.83, -2.09], [0.83, -2.09], [0.83, -2.09], [0.84, -2.11], [0.87, -2.11], [0.88, -2.09], [0.84, -2.01], [0.7, -1.86], [0.39, -1.7], [0.1, -1.59], [0.0, -1.44], [-0.04, -1.22], [-0.0, -0.95], [0.07, -0.67], [0.1, -0.44], [0.11, -0.25], [0.1, -0.09]]"
8.67,"[-0.3, -1.93]","[0.11, -0.07]",1.9,True,"[[0.11, -0.07], [0.11, -0.07], [0.11, -0.07], [0.13, -0.05], [0.15, -0.02], [0.14, 0.03], [0.09, 0.03], [0.04, -0.09], [-0.0, -0.34], [-0.01, -0.65], [0.07, -0.98], [0.17, -1.27], [0.14, -1.52], [0.11, -1.69], [0.06, -1.8], [-0.02, -1.88], [-0.11, -1.94], [-0.17, -1.99]]"
5.85,"[-1.65, -2.43]","[-0.17, -1.99]",1.54,True,"[[-0.17, -1.99], [-0.17, -1.99], [-0.17, -1.99], [-0.17, -2.02], [-0.24, -2.03], [-0.38, -2.04], [-0.59, -2.07], [-0.85, -2.13], [-1.1, -2.18], [-1.29, -2.23], [-1.45, -2.3], [-1.59, -2.32]]"
14.31,"[-0.45, -0.33]","[-1.59, -2.32]",2.29,True,"[[-1.59, -2.32], [-1.59, -2.32], [-1.59, -2.32], [-1.61, -2.31], [-1.64, -2.3], [-1.67, -2.32], [-1.68, -2.37], [-1.58, -2.32], [-1.36, -2.25], [-1.05, -2.09], [-0.69, -2.0], [-0.32, -1.99], [-0.01, -1.91], [0.09, -1.84], [0.17, -1.75], [0.2, -1.64], [0.2, -1.63], [0.2, -1.63], [0.19, -1.63], [0.15, -1.58], [0.09, -1.45], [0.03, -1.26], [0.02, -0.99], [0.06, -0.8], [0.05, -0.65], [-0.03, -0.51], [-0.16, -0.39], [-0.27, -0.3], [-0.35, -0.25]]"
9.15,"[-2.1, 1.38]","[-0.35, -0.25]",2.39,True,"[[-0.35, -0.25], [-0.35, -0.25], [-0.35, -0.25], [-0.35, -0.23], [-0.33, -0.19], [-0.29, -0.16], [-0.18, -0.0], [-0.19, 0.26], [-0.21, 0.44], [-0.27, 0.58], [-0.42, 0.68], [-0.7, 0.75], [-1.05, 0.74], [-1.33, 0.85], [-1.55, 0.96], [-1.72, 1.1], [-1.84, 1.26], [-1.92, 1.38], [-1.96, 1.42]]"
